Y座標,余熱時間,硬化時間,余熱開始日時,生産日,注入時間,投入開始日時_dayofweek,取出終了日時_dayofweek,生産日_dayofweek,preheat_duration,preheat_duration_negative,curing_duration_ratio,preheat_duration_injection_duration_ratio,preheat_duration_curing_duration_ratio,anomaly_flag_ratio,time_anomaly_score,B剤流圧(Mpa)_scaled,A剤タンク2圧力(Mpa)_scaled,生産吐出時間(sec)_scaled,余熱時間_scaled,生産日_dayofweek_scaled,生産日_day_scaled,preheat_duration_scaled,preheat_duration_injection_duration_ratio_scaled,preheat_duration_curing_duration_ratio_scaled
351.0,973,1659,46113.0,46113.0,15.99999997,2,3,2,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,-0.025000000000000022,1.0,-1.2142857142857142,0.5,-0.6,0.0,0.0,0.0
351.0,967,1715,46113.0,46113.0,14.99999973,2,3,2,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-0.025000000000000022,1.0,-1.2755102040816326,0.5,-0.6,0.0,0.0,0.0
351.0,967,1715,46113.0,46113.0,15.99999997,2,3,2,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,-0.025000000000000022,1.0,-1.2755102040816326,0.5,-0.6,0.0,0.0,0.0
351.0,988,1577,46113.0,46113.0,14.99999973,2,3,2,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,-0.025000000000000022,1.0,-1.0612244897959184,0.5,-0.6,0.0,0.0,0.0
351.0,1093,1182,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.01020408163265306,1.0,-0.5,0.0,0.0,0.0
351.0,1087,1191,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
351.0,1093,1182,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.01020408163265306,1.0,-0.5,0.0,0.0,0.0
366.8,1087,1191,46114.0,46114.0,11.00000006,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
320.0,1087,1191,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.9199999999999996,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
336.0,1087,1191,46114.0,46114.0,13.00000052,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.2799999999999997,-0.05102040816326531,1.0,-0.5,0.0,0.0,0.0
320.0,1079,1180,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.9199999999999996,-0.1326530612244898,1.0,-0.5,0.0,0.0,0.0
356.8,1085,1186,46114.0,46114.0,14.00000013,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.6,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
351.0,1079,1180,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.1326530612244898,1.0,-0.5,0.0,0.0,0.0
351.0,1079,1180,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.1326530612244898,1.0,-0.5,0.0,0.0,0.0
360.0,1085,1186,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
366.8,1093,1182,46114.0,46114.0,9.000000218,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.01020408163265306,1.0,-0.5,0.0,0.0,0.0
351.0,1085,1186,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
351.0,1085,1186,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,-0.07142857142857142,1.0,-0.5,0.0,0.0,0.0
366.8,1079,1180,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,-0.1326530612244898,1.0,-0.5,0.0,0.0,0.0
320.0,1093,1182,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.9199999999999996,0.01020408163265306,1.0,-0.5,0.0,0.0,0.0
366.8,1101,1177,46114.0,46114.0,10.00000045,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.09183673469387756,1.0,-0.5,0.0,0.0,0.0
351.0,1090,1180,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,-0.02040816326530612,1.0,-0.5,0.0,0.0,0.0
351.0,1130,1210,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.3877551020408163,1.0,-0.5,0.0,0.0,0.0
320.0,1119,1206,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.9199999999999996,0.2755102040816326,1.0,-0.5,0.0,0.0,0.0
366.8,1119,1206,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.2755102040816326,1.0,-0.5,0.0,0.0,0.0
351.0,1119,1206,46114.0,46114.0,15.00000036,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.2755102040816326,1.0,-0.5,0.0,0.0,0.0
351.0,1119,1206,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,1.0,0.2755102040816326,1.0,-0.5,0.0,0.0,0.0
320.0,1112,1186,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.5000000000000007,1.0,0.9199999999999996,0.20408163265306123,1.0,-0.5,0.0,0.0,0.0
366.8,1112,1186,46114.0,46114.0,9.999999823,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,0.5000000000000007,1.0,-0.9600000000000002,0.20408163265306123,1.0,-0.5,0.0,0.0,0.0
351.0,1112,1186,46114.0,46114.0,14.99999973,3,3,3,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.20408163265306123,1.0,-0.5,0.0,0.0,0.0
